Event ID,Local Hits,Feed Hits,Recent Hits,Tags,Alert Sent
1651,88,0,0,[],False
1652,1,0,0,[],False
1653,3,0,0,[],False
1654,1,0,0,[],False
1655,1,0,0,[],False
1656,1,0,0,[],False
1657,1,0,0,[],False
1658,3,0,0,[],False
1659,4,0,0,[],False
1660,1,2,0,"['tlp:white', 'type:OSINT']",True
1661,1,0,0,[],False
1662,4,0,0,[],False
1663,5,0,0,[],False
1664,1,0,0,[],False
1665,1,0,0,[],False
1666,2,0,0,[],False
1667,2,0,0,[],False
1668,1,0,0,[],False
1669,3,0,0,[],False
1670,1,0,0,[],False
1671,6,0,0,[],False
1672,1,0,0,[],False
1673,1,1,0,"['osint:certainty=""50""', 'tlp:white', 'osint:lifetime=""perpetual""', 'type:OSINT']",True
1675,5,0,0,[],False
1676,4,0,0,[],False
1677,1,0,0,[],False
1678,2,0,0,[],False
1679,1,1,0,"['type:OSINT', 'tlp:white', 'misp-galaxy:rat=""Netwire""', 'osint:lifetime=""perpetual""', 'osint:certainty=""50""']",True
1680,1,0,0,[],False
1681,4,0,0,[],False
1682,5,0,0,[],False
1683,2,0,0,[],False
1684,6,0,0,[],False
1685,3,0,0,[],False
1686,1,1,0,"['attack-pattern:name=""password brute forcing""', 'ms-caro-malware-full:malware-platform=""Linux""', 'circl:incident-classification=""malware""', 'tlp:white', 'maec-malware-capabilities:maec-malware-capability=""machine-access-control""', 'malware_classification:malware-category=""Botnet""', 'workflow:state=""ongoing""']",True
1687,2,0,0,[],False
1688,6,0,0,[],False
1689,7,0,0,[],False
1690,1,0,0,[],False
1691,8,0,0,[],False
1692,7,0,0,[],False
1693,1,0,0,[],False
1694,2,1,0,"['tlp:white', 'osint:source-type=""technical-report""']",True
1695,1,0,0,[],False
1696,1,0,0,[],False
1697,2,0,0,[],False
1698,89,0,0,[],False
1699,90,0,0,[],False
1700,91,0,0,[],False
1701,3,0,0,[],False
1702,92,0,0,[],False
1703,93,0,0,[],False
1704,94,0,0,[],False
1705,95,0,0,[],False
1706,96,0,0,[],False
1707,4,2,2,"['osint:source-type=""block-or-filter-list""']",True
1709,1,0,0,[],False
1710,97,0,0,[],False
1711,98,0,0,[],False
1712,1,0,0,[],False
1713,99,0,0,[],False
1714,100,0,0,[],False
1715,3,0,0,[],False
1716,9,0,0,[],False
1717,101,0,0,[],False
1718,102,0,0,[],False
1719,103,0,0,[],False
1720,104,0,0,[],False
1721,105,0,0,[],False
1722,106,0,0,[],False
1723,3,1,0,"['tlp:white', 'osint:source-type=""technical-report""']",True
1724,5,2,2,"['osint:source-type=""block-or-filter-list""']",True
1725,3,0,0,[],False
1726,107,0,0,[],False
1727,4,0,0,[],False
1728,3,0,0,[],False
1729,3,1,0,"['osint:certainty=""50""', 'tlp:white', 'osint:lifetime=""perpetual""', 'type:OSINT']",True
1730,108,0,0,[],False
1731,4,0,0,[],False
1732,8,0,0,[],False
1733,4,0,0,[],False
1734,109,0,0,[],False
1735,1,0,0,[],False
1736,110,0,0,[],False
1737,1,1,0,"['type:OSINT', 'tlp:white', 'misp-galaxy:rat=""Netwire""', 'osint:lifetime=""perpetual""', 'osint:certainty=""50""']",True
1738,10,0,0,[],False
1739,1,0,0,[],False
1740,1,2,0,"['tlp:white', 'type:OSINT']",True
1741,1,0,0,[],False
1742,1,0,0,[],False
1743,3,0,0,[],False
1744,1,1,0,"['attack-pattern:name=""password brute forcing""', 'ms-caro-malware-full:malware-platform=""Linux""', 'circl:incident-classification=""malware""', 'tlp:white', 'maec-malware-capabilities:maec-malware-capability=""machine-access-control""', 'malware_classification:malware-category=""Botnet""', 'workflow:state=""ongoing""']",True
1745,2,0,0,[],False
1746,5,0,0,[],False
1747,7,0,0,[],False
1748,2,0,0,[],False
1749,2,0,0,[],False
1750,6,2,2,"['osint:source-type=""block-or-filter-list""']",True
1751,2,0,0,[],False
1752,3,0,0,[],False
1753,3,0,0,[],False
1754,3,0,0,[],False
1755,11,0,0,[],False
1756,4,0,0,[],False
1757,12,0,0,[],False
1758,4,1,0,"['tlp:white', 'osint:source-type=""technical-report""']",True
1759,9,0,0,[],False
1760,4,0,0,[],False
1761,111,0,0,[],False
1762,13,0,0,[],False
1763,4,0,0,[],False
1764,5,0,0,[],False
1765,2,0,0,[],False
1766,112,0,0,[],False
1767,10,0,0,[],False
1768,113,0,0,[],False
1769,114,0,0,[],False
1770,115,0,0,[],False
1771,116,0,0,[],False
1772,117,0,0,[],False
1773,118,0,0,[],False
1774,5,0,0,[],False
1775,119,0,0,[],False
1776,120,0,0,[],False
1777,121,0,0,[],False
1778,122,0,0,[],False
1779,123,0,0,[],False
1780,124,0,0,[],False
1781,125,0,0,[],False
1782,126,0,0,[],False
1783,127,0,0,[],False
1784,14,0,0,[],False
1785,15,0,0,[],False
1786,11,0,0,[],False
1787,1,0,0,[],False
1788,2,1,0,"['osint:certainty=""50""', 'tlp:white', 'osint:lifetime=""perpetual""', 'type:OSINT']",True
1789,5,0,0,[],False
1790,4,0,0,[],False
1791,4,0,0,[],False
1792,1,0,0,[],False
1793,6,0,0,[],False
1794,3,0,0,[],False
1795,12,0,0,[],False
1796,5,0,0,[],False
1797,6,0,0,[],False
1798,1,0,0,[],False
1799,1,0,0,[],False
1800,2,0,0,[],False
1801,7,0,0,[],False
1802,6,0,0,[],False
1803,1,0,0,[],False
1804,1,0,0,[],False
1805,3,0,0,[],False
1806,1,0,0,[],False
1807,7,0,0,[],False
1808,4,0,0,[],False
1809,1,0,0,[],False
1810,13,0,0,[],False
1811,5,0,0,[],False
1812,1,0,0,[],False
1813,1,0,0,[],False
1814,1,0,0,[],False
1815,1,0,0,[],False
1816,1,0,0,[],False
1817,3,0,0,[],False
1818,6,0,0,[],False
1819,7,0,0,[],False
1820,128,0,0,[],False
1821,129,0,0,[],False
1822,1,0,0,[],False
1823,130,0,0,[],False
1824,131,0,0,[],False
1825,132,0,0,[],False
1826,133,0,0,[],False
1827,2,0,0,[],False
1828,3,0,0,[],False
1829,134,0,0,[],False
1830,135,0,0,[],False
1831,136,0,0,[],False
1832,137,0,0,[],False
1833,4,1,0,"['osint:certainty=""50""', 'tlp:white', 'osint:lifetime=""perpetual""', 'type:OSINT']",True
1834,138,0,0,[],False
1835,139,0,0,[],False
1836,1,0,0,[],False
1837,140,0,0,[],False
1838,141,0,0,[],False
1839,142,0,0,[],False
1840,143,0,0,[],False
1841,7,0,0,[],False
1842,144,0,0,[],False
1843,145,0,0,[],False
1844,146,0,0,[],False
1845,147,0,0,[],False
1846,148,0,0,[],False
1847,7,2,2,"['osint:source-type=""block-or-filter-list""']",True
1848,1,0,0,[],False
1849,1,0,0,[],False
1850,1,0,0,[],False
1851,8,0,0,[],False
1852,6,0,0,[],False
1853,16,0,0,[],False
1854,14,0,0,[],False
1855,5,0,0,[],False
1856,6,0,0,[],False
1857,3,1,0,"['osint:certainty=""50""', 'tlp:white', 'osint:lifetime=""perpetual""', 'type:OSINT']",True
1858,1,0,0,[],False
1859,15,0,0,[],False
1860,9,0,0,[],False
1861,7,0,0,[],False
1862,2,2,0,"['tlp:white', 'type:OSINT']",True
1863,2,1,0,"['type:OSINT', 'tlp:white', 'misp-galaxy:rat=""Netwire""', 'osint:lifetime=""perpetual""', 'osint:certainty=""50""']",True
1864,5,0,0,[],False
1865,16,0,0,[],False
1866,1,0,0,[],False
1867,1,0,0,[],False
1868,1,0,0,[],False
1869,3,0,0,[],False
1870,1,0,0,[],False
1871,2,0,0,[],False
1872,5,1,0,"['tlp:white', 'osint:source-type=""technical-report""']",True
1873,4,0,0,[],False
1874,1,0,0,[],False
1875,6,0,0,[],False
1876,17,0,0,[],False
1877,2,1,0,"['attack-pattern:name=""password brute forcing""', 'ms-caro-malware-full:malware-platform=""Linux""', 'circl:incident-classification=""malware""', 'tlp:white', 'maec-malware-capabilities:maec-malware-capability=""machine-access-control""', 'malware_classification:malware-category=""Botnet""', 'workflow:state=""ongoing""']",True
1878,1,0,0,[],False
1879,1,0,0,[],False
1880,6,0,0,[],False
1881,17,0,0,[],False
1882,2,0,0,[],False
1883,1,0,0,[],False
1884,1,0,0,[],False
1885,1,0,0,[],False
1886,1,0,0,[],False
1887,8,2,2,"['osint:source-type=""block-or-filter-list""']",True
1888,1,0,0,[],False
1889,18,0,0,[],False
1890,7,0,0,[],False
1891,1,0,0,[],False
1892,1,0,0,[],False
1893,1,0,0,[],False
1894,1,0,0,[],False
1895,1,0,0,[],False
1896,1,0,0,[],False
1897,2,0,0,[],False
1898,18,0,0,[],False
1899,1,0,0,[],False
1900,1,0,0,[],False
1901,1,0,0,[],False
1902,2,0,0,[],False
1903,1,0,0,[],False
1904,1,0,0,[],False
1905,1,0,0,[],False
1906,1,0,0,[],False
1907,1,0,0,[],False
1908,1,0,0,[],False
1909,10,0,0,[],False
1910,1,0,0,[],False
1911,1,0,0,[],False
1912,1,0,0,[],False
1913,1,0,0,[],False
1914,1,0,0,[],False
1915,1,0,0,[],False
1916,1,0,0,[],False
1917,1,0,0,[],False
1918,1,0,0,[],False
1919,1,0,0,[],False
1920,1,0,0,[],False
1921,1,0,0,[],False
1922,3,0,0,[],False
1923,1,0,0,[],False
1924,1,0,0,[],False
1925,2,0,0,[],False
1926,1,0,0,[],False
1927,1,0,0,[],False
1928,3,0,0,[],False
1929,1,0,0,[],False
1930,1,0,0,[],False
1931,1,0,0,[],False
1932,1,0,0,[],False
1933,2,0,0,[],False
1934,19,0,0,[],False
1935,4,0,0,[],False
1936,8,0,0,[],False
1937,19,0,0,[],False
1938,1,0,0,[],False
1939,1,0,0,[],False
1940,1,0,0,[],False
1941,149,0,0,[],False
1942,150,0,0,[],False
1943,151,0,0,[],False
1944,152,0,0,[],False
1945,153,0,0,[],False
1946,154,0,0,[],False
1947,155,0,0,[],False
1948,1,0,0,[],False
1949,20,0,0,[],False
1950,21,0,0,[],False
1951,9,2,2,"['osint:source-type=""block-or-filter-list""']",True
1952,1,0,0,[],False
1953,8,0,0,[],False
1954,1,0,0,[],False
1955,5,0,0,[],False
1956,156,0,0,[],False
1957,157,0,0,[],False
1958,158,0,0,[],False
1959,2,0,0,[],False
1960,1,0,0,[],False
1961,159,0,0,[],False
1962,160,0,0,[],False
1963,161,0,0,[],False
1964,162,0,0,[],False
1965,163,0,0,[],False
1966,164,0,0,[],False
1967,6,1,0,"['tlp:white', 'osint:source-type=""technical-report""']",True
1968,1,0,0,[],False
1969,1,0,0,[],False
1970,1,0,0,[],False
1971,3,0,0,[],False
1972,22,0,0,[],False
1973,1,0,0,[],False
1974,3,0,0,[],False
1975,1,0,0,[],False
1976,4,0,0,[],False
1977,5,0,0,[],False
1978,1,0,0,[],False
1979,1,0,0,[],False
1980,1,0,0,[],False
1981,3,0,0,[],False
1982,165,0,0,[],False
1983,166,0,0,[],False
1984,167,0,0,[],False
1985,23,0,0,[],False
1986,168,0,0,[],False
1987,5,1,0,"['osint:certainty=""50""', 'tlp:white', 'osint:lifetime=""perpetual""', 'type:OSINT']",True
1988,169,0,0,[],False
1989,170,0,0,[],False
1990,171,0,0,[],False
1991,7,0,0,[],False
1992,1,0,0,[],False
1993,172,0,0,[],False
1994,4,0,0,[],False
1995,173,0,0,[],False
1996,174,0,0,[],False
1997,175,0,0,[],False
1998,176,0,0,[],False
1999,177,0,0,[],False
2000,178,0,0,[],False
2001,179,0,0,[],False
2002,7,1,0,[],False
2003,10,2,2,"['osint:source-type=""block-or-filter-list""']",True
2004,180,0,0,[],False
2005,181,0,0,[],False
2006,1,0,0,[],False
2007,24,0,0,[],False
2008,1,0,0,[],False
2009,1,0,0,[],False
2010,182,0,0,[],False
2011,183,0,0,[],False
2012,1,0,0,[],False
2013,1,0,0,[],False
2014,1,0,0,[],False
2015,11,0,0,[],False
2016,3,2,0,"['tlp:white', 'type:OSINT']",True
2017,184,0,0,[],False
2018,1,0,0,[],False
2019,1,0,0,[],False
2020,1,0,0,[],False
2021,3,0,0,[],False
2022,1,0,0,[],False
2023,1,0,0,[],False
2024,1,0,0,[],False
2025,9,0,0,[],False
2026,1,0,0,[],False
2027,25,0,0,[],False
2028,8,1,0,[],False
2029,6,0,0,[],False
2030,5,0,0,[],False
2031,20,0,0,[],False
2032,11,2,2,"['osint:source-type=""block-or-filter-list""']",True
2033,26,0,0,[],False
2034,21,0,0,[],False
2035,12,0,0,[],False
2036,1,0,0,[],False
2037,27,0,0,[],False
2038,6,0,0,[],False
2039,9,0,0,[],False
2040,2,0,0,[],False
2041,1,0,0,[],False
2042,1,0,0,[],False
2043,1,0,0,[],False
2044,8,0,0,[],False
2045,22,0,0,[],False
2046,1,0,0,[],False
2047,2,0,0,[],False
2048,9,0,0,[],False
2049,1,0,0,[],False
2050,1,0,0,[],False
2051,2,0,0,[],False
2052,8,0,0,[],False
2053,2,0,0,[],False
2054,10,0,0,[],False
2055,3,0,0,[],False
2056,3,0,0,[],False
2057,7,0,0,[],False
2058,4,0,0,[],False
2059,5,0,0,[],False
2060,185,0,0,[],False
2061,186,0,0,[],False
2062,4,0,0,[],False
2063,5,0,0,[],False
2064,2,0,0,[],False
2065,187,0,0,[],False
2066,2,0,0,[],False
2067,188,0,0,[],False
2068,189,0,0,[],False
2069,190,0,0,[],False
2070,1,0,0,[],False
2071,191,0,0,[],False
2072,11,0,0,[],False
2073,192,0,0,[],False
2074,193,0,0,[],False
2075,23,0,0,[],False
2076,194,0,0,[],False
2077,7,0,0,[],False
2078,12,2,2,"['osint:source-type=""block-or-filter-list""']",True
2079,1,0,0,[],False
2080,1,0,0,[],False
2081,195,0,0,[],False
2082,1,0,0,[],False
2083,1,0,0,[],False
2084,1,0,0,[],False
2085,1,0,0,[],False
2086,196,0,0,[],False
2087,197,0,0,[],False
2088,1,0,0,[],False
2089,1,0,0,[],False
2090,1,0,0,[],False
2091,2,0,0,[],False
2092,1,0,0,[],False
2093,10,0,0,[],False
2094,198,0,0,[],False
2095,199,0,0,[],False
2096,6,0,0,[],False
2097,200,0,0,[],False
2098,201,0,0,[],False
2099,202,0,0,[],False
2100,12,0,0,[],False
2101,13,0,0,[],False
2102,11,0,0,[],False
2103,203,0,0,[],False
2104,204,0,0,[],False
2105,205,0,0,[],False
2106,206,0,0,[],False
2107,207,0,0,[],False
2108,208,0,0,[],False
2109,209,0,0,[],False
2110,210,0,0,[],False
2111,211,0,0,[],False
2112,212,0,0,[],False
2113,28,0,0,[],False
2114,4,0,0,[],False
2115,1,0,0,[],False
2116,1,0,0,[],False
2117,1,0,0,[],False
2118,1,0,0,[],False
2119,24,0,0,[],False
2120,1,0,0,[],False
2121,1,0,0,[],False
2122,1,0,0,[],False
2123,1,0,0,[],False
2124,1,0,0,[],False
2125,1,0,0,[],False
2126,1,0,0,[],False
2127,1,0,0,[],False
2128,1,0,0,[],False
2129,1,0,0,[],False
2130,1,0,0,[],False
2131,1,0,0,[],False
2132,1,0,0,[],False
2133,1,0,0,[],False
2134,4,1,0,"['osint:certainty=""50""', 'tlp:white', 'osint:lifetime=""perpetual""', 'type:OSINT']",True
2135,1,0,0,[],False
2136,1,0,0,[],False
2137,6,0,0,[],False
2138,1,0,0,[],False
2139,7,0,0,[],False
2140,1,0,0,[],False
2141,3,0,0,[],False
2142,8,0,0,[],False
2143,9,0,0,[],False
2144,14,0,0,[],False
2145,15,0,0,[],False
2146,4,0,0,[],False
2147,1,0,0,[],False
2148,16,0,0,[],False
2149,8,0,0,[],False
2150,213,0,0,[],False
2151,214,0,0,[],False
2152,215,0,0,[],False
2153,9,0,0,[],False
2154,6,1,0,"['osint:certainty=""50""', 'tlp:white', 'osint:lifetime=""perpetual""', 'type:OSINT']",True
2155,216,0,0,[],False
2156,217,0,0,[],False
2157,8,0,0,[],False
2158,218,0,0,[],False
2159,219,0,0,[],False
2160,13,2,2,"['osint:source-type=""block-or-filter-list""']",True
2161,1,0,0,[],False
2162,29,0,0,[],False
2163,12,0,0,[],False
2164,9,1,0,[],False
2165,25,0,0,[],False
2166,1,0,0,[],False
2167,7,0,0,[],False
2168,220,0,0,[],False
2169,221,0,0,[],False
2170,10,0,0,[],False
2171,3,0,0,[],False
2172,11,0,0,[],False
2173,13,0,0,[],False
2174,222,0,0,[],False
2175,223,0,0,[],False
2176,1,0,0,[],False
2177,5,1,0,"['osint:certainty=""50""', 'tlp:white', 'osint:lifetime=""perpetual""', 'type:OSINT']",True
2178,224,0,0,[],False
2179,1,0,0,[],False
2180,225,0,0,[],False
2181,1,0,0,[],False
2182,1,0,0,[],False
2183,1,0,0,[],False
2184,8,0,0,[],False
2185,1,0,0,[],False
2186,1,0,0,[],False
2187,5,0,0,[],False
2188,1,0,0,[],False
2189,1,0,0,[],False
2190,1,0,0,[],False
2191,10,0,0,[],False
2192,1,0,0,[],False
2193,1,0,0,[],False
2194,6,0,0,[],False
2195,30,0,0,[],False
2196,5,0,0,[],False
2197,4,0,0,[],False
2198,7,0,0,[],False
2199,1,0,0,[],False
2200,26,0,0,[],False
2201,1,0,0,[],False
2202,27,0,0,[],False
2203,10,0,0,[],False
2204,7,0,0,[],False
2205,12,0,0,[],False
2206,1,0,0,[],False
2207,1,0,0,[],False
2208,1,0,0,[],False
2209,226,0,0,[],False
2210,227,0,0,[],False
2211,228,0,0,[],False
2212,229,0,0,[],False
2213,3,0,0,[],False
2214,1,0,0,[],False
2215,1,0,0,[],False
2216,1,0,0,[],False
2217,28,0,0,[],False
2218,1,0,0,[],False
2219,230,0,0,[],False
2220,1,0,0,[],False
2221,231,0,0,[],False
2222,3,0,0,[],False
2223,1,0,0,[],False
2224,11,0,0,[],False
2225,31,0,0,[],False
2226,1,0,0,[],False
2227,232,0,0,[],False
2228,233,0,0,[],False
2229,234,0,0,[],False
2230,13,0,0,[],False
2231,14,0,0,[],False
2232,1,0,0,[],False
2233,235,0,0,[],False
2234,1,0,0,[],False
2235,29,0,0,[],False
2236,32,0,0,[],False
2237,8,0,0,[],False
2238,8,0,0,[],False
2239,1,0,0,[],False
2240,1,0,0,[],False
2241,1,0,0,[],False
2242,1,0,0,[],False
2243,1,0,0,[],False
2244,33,0,0,[],False
2245,14,2,2,"['osint:source-type=""block-or-filter-list""']",True
2246,236,0,0,[],False
2247,5,0,0,[],False
2248,237,0,0,[],False
2249,12,0,0,[],False
2250,2,0,0,[],False
2251,13,0,0,[],False
2252,1,0,0,[],False
2253,1,0,0,[],False
2254,1,0,0,[],False
2255,1,0,0,[],False
